,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_samples,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,0.23801274299621583,0.007832389704291112,0.01143941879272461,0.0026404033161492252,50,50,1,40,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 40}",-1502.275730384065,-2053.6417491886814,-3584.2522681437863,-3763.8050497793943,-1745.3840220426077,-2529.8717639077067,952.1007566286918,3153
21,0.2677978515625,0.015360367651978213,0.016389846801757812,0.004092103926133463,50,50,1,41,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 41}",-1526.3467394456395,-2053.7833675664215,-3552.775980909236,-3714.880584880634,-1736.1062977553815,-2516.7785941114626,928.8173166532824,3074
22,0.37798542976379396,0.022377842600813627,0.019967365264892577,0.001282214332841354,50,50,1,42,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 42}",-1575.9736521019772,-2037.0824628950818,-3510.68983025279,-3724.8771395157564,-1759.3765181505084,-2521.5999205832227,909.5191737038438,3108
23,0.3861290454864502,0.01851850185257254,0.01878509521484375,0.006025959318413513,50,50,1,43,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 43}",-1581.1339741120623,-2026.705687957933,-3487.8814421966526,-3645.4788006398985,-1788.2117686406232,-2505.882334709434,878.9565612574906,3021
24,0.3607738971710205,0.02301273860278288,0.02254643440246582,0.015286702161738006,50,50,1,44,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 44}",-1617.334111156023,-2066.1246590199135,-3505.843747634279,-3651.8908614054512,-1746.9826571367714,-2517.6352072704876,879.9319519211824,3082
25,0.4587862968444824,0.05240931240717578,0.028667926788330078,0.016248844972471182,50,50,1,45,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 45}",-1693.099162776101,-2115.1654695896364,-3600.143327897659,-3726.9088276868824,-1727.4511213482806,-2572.553581859712,903.9157979574414,3353
26,0.5124391555786133,0.030229298926370204,0.04321432113647461,0.02491291713103895,50,50,1,46,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 46}",-1684.9057934047983,-2127.160190818134,-3616.5409342915686,-3712.2987131688906,-1706.1460028835204,-2569.4103269133825,908.387045059777,3340
27,0.6409948825836181,0.02981575884721193,0.021701717376708986,0.004727594358145708,50,50,1,47,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 47}",-1703.046785448559,-2116.6450610319102,-3705.8004880854487,-3772.3877886554956,-1686.211871864952,-2596.8183990172734,945.5583580883876,3433
28,0.4738572120666504,0.010893157811477877,0.023218059539794923,0.0033560187904478622,50,50,1,48,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 48}",-1678.2195738953737,-2052.0141276081768,-3754.9766529623557,-3786.985911987028,-1666.846326114827,-2587.8085185135524,976.0027574157441,3404
29,0.45684041976928713,0.02071821701292266,0.023879289627075195,0.0034655884747063844,50,50,1,49,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 49}",-1671.0293483277583,-2032.4578536847498,-3702.2452973108107,-3793.973161078804,-1663.6271408422108,-2572.666560248867,969.398340318052,3354
