,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
76,1.20489182472229,0.08305265887848476,0.0507598876953125,0.011652329251017833,50,77,"{'max_samples': 50, 'n_estimators': 77}",-1359.1461427920622,-1532.6274357402815,-2997.4083881497677,-3595.0912541826847,-2011.8576174815007,-2299.2261676692597,862.6389149632403,571
77,1.1896585941314697,0.1502979557075907,0.04893488883972168,0.0034855876674341627,50,78,"{'max_samples': 50, 'n_estimators': 78}",-1367.4252882094152,-1564.9451515750175,-2999.745097607464,-3600.411251400639,-1997.6078741129513,-2306.0269325810973,858.134398084149,593
78,1.0565999507904054,0.04737291364910301,0.051267147064208984,0.00463015482135544,50,79,"{'max_samples': 50, 'n_estimators': 79}",-1379.2263596791088,-1550.8519048709036,-2996.197710217313,-3618.7517055576163,-2019.4348521266868,-2312.892506490326,861.4789604339098,609
79,1.117453145980835,0.07884523836368604,0.05349264144897461,0.007804816699785747,50,80,"{'max_samples': 50, 'n_estimators': 80}",-1379.4550166957451,-1558.7425990980803,-2980.971815893165,-3615.365287152774,-2034.499134354664,-2313.8067706388856,855.6064081628751,612
80,1.2849095344543457,0.12329492109049266,0.05820631980895996,0.007760508768736151,50,81,"{'max_samples': 50, 'n_estimators': 81}",-1393.553127643669,-1554.5203390638387,-3015.3782648724255,-3609.7937915192224,-2048.5226839506695,-2324.3536414099644,856.1526775833852,655
81,1.13991322517395,0.08512744829781314,0.049452018737792966,0.009996159488779275,50,82,"{'max_samples': 50, 'n_estimators': 82}",-1402.9022633734178,-1552.1898066702433,-2993.3189219605306,-3593.0049345252132,-2054.4145513742565,-2319.1660955807324,845.5806098818902,628
82,1.1254440307617188,0.07297341181034661,0.0580237865447998,0.010575179712305765,50,83,"{'max_samples': 50, 'n_estimators': 83}",-1389.6543526474509,-1533.102722790211,-2969.2315918498693,-3615.7172563603044,-2048.4568975550083,-2311.2325642405685,855.3930714648415,604
83,1.1684295177459716,0.06702997713389368,0.06147322654724121,0.01267749751018031,50,84,"{'max_samples': 50, 'n_estimators': 84}",-1387.7871346655277,-1536.993646089914,-2956.4670833451423,-3617.6520864981003,-2047.3217246997222,-2309.2443350596814,853.8016259661973,601
84,1.2268795490264892,0.12028316733479667,0.06143794059753418,0.0066794094971086735,50,85,"{'max_samples': 50, 'n_estimators': 85}",-1401.6253070933392,-1560.873033125011,-2938.2295913528424,-3631.443886672308,-2043.8617716767108,-2315.2067179840424,848.2825198366165,616
85,1.4625705242156983,0.30968969088725756,0.07768325805664063,0.019949183671938174,50,86,"{'max_samples': 50, 'n_estimators': 86}",-1377.9473877046794,-1562.3586543070965,-2984.121722649057,-3634.2767808013136,-2038.8359726779927,-2319.508103628028,861.2684427672168,632
