,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.08807387351989746,0.0036310622367362543,0.004074239730834961,0.003848391108735431,0.25,2,64,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 64}",-808.1420607154839,-844.8844618862231,-2099.699916655188,-1661.436288142224,-1243.3333338502637,-1331.4992122498766,493.44921557235426,13
18,0.09919471740722656,0.008012454322695605,0.003953695297241211,0.0023598783448067397,0.25,2,66,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 66}",-816.0864080347862,-842.7841127244167,-2095.493832922134,-1667.6354995188146,-1237.3543250114374,-1331.8708356423178,491.94120798354453,14
19,0.09621124267578125,0.005707322996906359,0.0026192665100097656,0.003219150529146471,0.25,2,68,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 68}",-816.1689826015851,-850.2750588053681,-2092.361396854105,-1654.9188688258994,-1228.4954519568942,-1328.4439518087704,488.101745790956,11
20,0.10816559791564942,0.0199325922439661,0.0023260116577148438,0.0035244553486400124,0.25,2,70,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 70}",-818.6884546805117,-854.3432022182263,-2082.0604947753864,-1646.1831942404442,-1224.6448623791298,-1325.1840416587397,482.5431428430607,10
21,0.1813673973083496,0.043738330805295704,0.0025076866149902344,0.0023598368128839326,0.25,2,72,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 72}",-811.702009995124,-855.7494790190962,-2084.151540513045,-1645.0653361122884,-1223.6510154494686,-1324.0638762178046,484.29143991168024,9
22,0.16800446510314943,0.03947458206760692,0.004087495803833008,0.005338745953948879,0.25,2,74,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 74}",-809.9720132294008,-851.5670186497598,-2072.9200834110648,-1640.0184420899193,-1218.2209432501013,-1318.5397001260492,481.49907052903404,6
23,0.15528621673583984,0.04385929014247413,0.0008047103881835937,0.0016094207763671874,0.25,2,76,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 76}",-826.7847044653496,-858.9372085417306,-2075.4622126425747,-1630.1560745749666,-1221.2441970099956,-1322.5168794469234,475.91621236445394,8
24,0.12602386474609376,0.008238426273052966,0.0026330947875976562,0.0026194940286251426,0.25,2,78,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 78}",-825.7312873060762,-860.9565321790478,-2077.609052307633,-1613.4604403380083,-1218.556994367185,-1319.26286129959,474.4261667327263,7
25,0.12957191467285156,0.009275097377973678,0.002041339874267578,0.0032596591482949126,0.25,2,80,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 80}",-823.6943587241665,-859.2841921164472,-2084.8476464159635,-1598.6367881643946,-1219.6441533167185,-1317.2214277475382,475.6556361039627,5
26,0.12901735305786133,0.012904802168727744,0.002579069137573242,0.002927334506136952,0.25,2,82,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 82}",-821.8798139675677,-859.8909064716615,-2086.145020447232,-1594.9086996499068,-1215.244027362041,-1315.6136935796817,476.0787116775979,3
27,0.11585521697998047,0.004958066498856423,0.0025168418884277343,0.0039029006474301845,0.25,2,84,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 84}",-816.7515613561086,-862.3567401199758,-2086.244039696552,-1582.330540058018,-1203.4878191574523,-1310.2341400776213,475.76082501889994,1
28,0.12301430702209473,0.0030763010866412185,0.0,0.0,0.25,2,86,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 86}",-827.6858177343199,-864.9523307327987,-2092.682107785401,-1579.1887342903644,-1203.4795382945008,-1313.5977057674768,474.76944850717433,2
29,0.1267857074737549,0.005680296192127599,0.004577922821044922,0.004316225269748972,0.25,2,88,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 88}",-825.7876832027335,-867.8957855011146,-2101.0549485254805,-1581.4286581201354,-1203.326215764448,-1315.8986582227822,477.61165765722006,4
30,0.08493852615356445,0.003318399343009722,0.001076078414916992,0.002152156829833984,0.3,2,60,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 60}",-701.0372257620133,-1050.636860339898,-2108.203472641964,-1529.0740374445409,-1272.33828064709,-1332.2579753671012,473.7443264059883,15
