,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34,0.1652653694152832,0.005137343315412977,0.012172937393188477,0.0031352401303468462,20,35,"{'max_samples': 20, 'n_estimators': 35}",-1823.7528063767888,-1229.9061741189466,-2974.245582269551,-3668.906684732886,-1508.1569333914285,-2240.99363617792,928.4429427399047,350
35,0.16730384826660155,0.005490969228109124,0.014644002914428711,0.003461834450397005,20,36,"{'max_samples': 20, 'n_estimators': 36}",-1767.6966589704687,-1274.0095172604001,-2937.7588005492066,-3644.749496706575,-1495.940435420999,-2224.0309817815296,913.0986955263455,345
36,0.17664871215820313,0.006083465599077487,0.015239286422729491,0.0030146419083176947,20,37,"{'max_samples': 20, 'n_estimators': 37}",-1768.5668836131856,-1282.8356648805861,-2962.5295593716232,-3628.10814521664,-1457.976390715538,-2220.0033287595147,916.1732942853226,339
37,0.1766800880432129,0.0028357201228695937,0.014311599731445312,0.0025067709703483214,20,38,"{'max_samples': 20, 'n_estimators': 38}",-1747.9759123717838,-1289.240773108137,-2962.655014247749,-3639.559186261603,-1478.833455940283,-2223.6528683859115,917.0676485438593,344
38,0.17947402000427246,0.0036791086857400745,0.013022470474243163,0.004634916314485617,20,39,"{'max_samples': 20, 'n_estimators': 39}",-1705.0163875228423,-1266.8310950015552,-2951.627502673796,-3650.4861488568977,-1479.374496378329,-2210.6671260866838,927.7283148911147,337
39,0.1818831443786621,0.005635465195255671,0.014889240264892578,0.0052583794265262706,20,40,"{'max_samples': 20, 'n_estimators': 40}",-1683.5907887991063,-1264.0633965001462,-2970.6927750319114,-3591.7309239779033,-1538.5889974551797,-2209.733376352849,906.7004950520279,334
40,0.1890712261199951,0.004701103141063706,0.011473512649536133,0.0021035352156691268,20,41,"{'max_samples': 20, 'n_estimators': 41}",-1700.945868831568,-1281.7637651571617,-2976.814386315934,-3584.660806678924,-1556.849158380939,-2220.206797072905,897.1666936517805,340
41,0.1943753719329834,0.006619877537170652,0.014910078048706055,0.0027787939833102534,20,42,"{'max_samples': 20, 'n_estimators': 42}",-1640.4414791608492,-1305.9913345589123,-2976.1196099794824,-3564.533371631569,-1554.0659142596137,-2208.2303419180853,893.7071504580458,333
42,0.19092221260070802,0.0022509883469522796,0.013707447052001952,0.003758384461836233,20,43,"{'max_samples': 20, 'n_estimators': 43}",-1711.9159622886684,-1347.9056816811049,-2966.7071802870423,-3567.347946146832,-1536.2623790275684,-2226.027829886243,878.5136824394727,346
43,0.19716734886169435,0.0054090668773256285,0.0167938232421875,0.003698915023387435,20,44,"{'max_samples': 20, 'n_estimators': 44}",-1691.5924067576384,-1343.6499995680365,-2956.7351656658607,-3525.613945337959,-1532.299731003824,-2209.978249666664,867.9907682713724,335
