,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
41,0.2784916877746582,0.005056402961561207,0.0076749324798583984,0.0052777742691805,0.01,2,46,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 46}",-2126.538919939487,-2687.5898284110126,-4954.76782140515,-4814.831452896608,-2103.9747898118817,-3337.540562492828,1281.285123020585,1044
42,0.28857221603393557,0.006168989947659965,0.007416248321533203,0.00197044805380107,0.01,2,47,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 47}",-2097.1606401861027,-2666.925627804227,-4925.829280172638,-4797.119263503305,-2091.314723400848,-3315.6699070134237,1279.9988274687175,1040
43,0.29514498710632325,0.006327264698017475,0.006715250015258789,0.005091989595958385,0.01,2,48,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 48}",-2071.9273833008556,-2640.9777734325266,-4914.377038917565,-4773.059370861965,-2078.463781446664,-3295.761069591915,1281.4562553163717,1036
44,0.30147204399108884,0.0035166596544908956,0.007074403762817383,0.0017342589299416582,0.01,2,49,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 49}",-2043.8696148777276,-2619.7448483973326,-4887.252174338682,-4743.257764542935,-2066.5674079239893,-3272.138362016133,1277.5325953106142,1031
45,0.29692707061767576,0.005565764750315345,0.005319404602050781,0.0036116896524088955,0.01,2,50,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 50}",-2029.37437264023,-2595.013726584255,-4876.168223752725,-4718.708239016223,-2054.542089036661,-3254.7613302060186,1276.6727998501326,1028
46,0.30762457847595215,0.0055641915356658585,0.008002185821533203,0.002228009753555357,0.01,2,51,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 51}",-2001.884299299944,-2578.9004544411187,-4865.3259553900025,-4701.858394771523,-2043.3761871165984,-3238.2690582038376,1279.108368657531,1023
47,0.32250514030456545,0.006672205286764578,0.0092926025390625,0.003565573791084278,0.01,2,52,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 52}",-1988.0897991715215,-2559.0461768924442,-4838.1330101232,-4670.3195443137365,-2032.1403536365183,-3217.545776827484,1271.788059517497,1018
48,0.3247586727142334,0.01170984374185251,0.008805465698242188,0.0036450321235578158,0.01,2,53,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 53}",-1961.653742500716,-2535.8750710278528,-4827.637944737994,-4647.007478479587,-2023.9090502632566,-3199.216657401881,1272.8539704613456,1015
49,0.3335613250732422,0.001266739765390118,0.003965425491333008,0.003345583883931128,0.01,2,54,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 54}",-1948.533799068516,-2520.925298996365,-4793.146107673357,-4619.185200276366,-2012.6250881227465,-3178.88309882747,1263.8940476539287,1012
50,0.34036784172058104,0.005421807478986125,0.007195901870727539,0.0027370197613951295,0.01,2,55,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 55}",-1923.1148141229169,-2496.043484713809,-4783.01025113456,-4603.578520657038,-2003.5792274381631,-3161.865259613298,1266.972457874976,1009
